,Date,Open,High,Low,Close,Volume,Turnover,update_timestamp
0,2020-01-02,0.8342125,0.8342125,0.8342125,0.8342125,4566560.0,0.0,2025-03-15 21:23:38
1,2020-01-03,0.85187346,0.85187346,0.85187346,0.85187346,5044733.0,0.0,2025-03-15 21:23:38
2,2020-01-06,0.8272156,0.8272156,0.8272156,0.8272156,4243076.0,0.0,2025-03-15 21:23:38
3,2020-01-07,0.8317587,0.8317587,0.8317587,0.8317587,4127249.0,0.0,2025-03-15 21:23:38
4,2020-01-08,0.76154655,0.76154655,0.76154655,0.76154655,5395478.0,0.0,2025-03-15 21:23:38
5,2020-01-09,0.65746206,0.65746206,0.65746206,0.65746206,5293014.0,0.0,2025-03-15 21:23:38
6,2020-01-10,0.86461794,0.86461794,0.86461794,0.86461794,5593397.0,0.0,2025-03-15 21:23:38
7,2020-01-13,0.7610631,0.7610631,0.7610631,0.7610631,5123253.0,0.0,2025-03-15 21:23:38
8,2020-01-14,0.7604605,0.7604605,0.7604605,0.7604605,4743633.0,0.0,2025-03-15 21:23:38
9,2020-01-15,0.74545777,0.74545777,0.74545777,0.74545777,5132344.0,0.0,2025-03-15 21:23:38
10,2020-01-16,0.71473503,0.71473503,0.71473503,0.71473503,5765536.0,0.0,2025-03-15 21:23:38
11,2020-01-17,0.66048247,0.66048247,0.66048247,0.66048247,6851717.0,0.0,2025-03-15 21:23:38
12,2020-01-21,0.82838345,0.82838345,0.82838345,0.82838345,5023681.0,0.0,2025-03-15 21:23:38
13,2020-01-22,0.81960195,0.81960195,0.81960195,0.81960195,5416975.0,0.0,2025-03-15 21:23:38
14,2020-01-23,0.7646167,0.7646167,0.7646167,0.7646167,4679536.0,0.0,2025-03-15 21:23:38
15,2020-01-24,1.1032594,1.1032594,1.1032594,1.1032594,6990944.0,0.0,2025-03-15 21:23:38
16,2020-01-27,1.0065919,1.0065919,1.0065919,1.0065919,5925147.0,0.0,2025-03-15 21:23:38
17,2020-01-28,0.79680985,0.79680985,0.79680985,0.79680985,4413195.0,0.0,2025-03-15 21:23:38
18,2020-01-29,0.83356845,0.83356845,0.83356845,0.83356845,4767036.0,0.0,2025-03-15 21:23:38
19,2020-01-30,0.8611099,0.8611099,0.8611099,0.8611099,4769042.0,0.0,2025-03-15 21:23:38
20,2020-01-31,1.0677501,1.0677501,1.0677501,1.0677501,7795978.0,0.0,2025-03-15 21:23:38
21,2020-02-03,0.72036093,0.72036093,0.72036093,0.72036093,5012490.0,0.0,2025-03-15 21:23:38
22,2020-02-04,0.82300293,0.82300293,0.82300293,0.82300293,5300392.0,0.0,2025-03-15 21:23:38
23,2020-02-05,0.9406011,0.9406011,0.9406011,0.9406011,5838147.0,0.0,2025-03-15 21:23:38
24,2020-02-06,0.70855457,0.70855457,0.70855457,0.70855457,5156187.0,0.0,2025-03-15 21:23:38
25,2020-02-07,0.95145285,0.95145285,0.95145285,0.95145285,5341747.0,0.0,2025-03-15 21:23:38
