,Date,Open,High,Low,Close,Volume,Turnover
0,2020-01-02,3244.67,3258.14,3235.53,3257.85,1829900000.0,152965000000.0
1,2020-01-03,3226.36,3246.15,3222.34,3234.85,1752300000.0,143817900000.0
2,2020-01-06,3217.55,3246.84,3214.64,3246.28,1912600000.0,161457500000.0
3,2020-01-07,3241.86,3244.91,3232.43,3237.18,1908600000.0,160548700000.0
4,2020-01-08,3238.59,3267.07,3236.67,3253.05,1961700000.0,166995300000.0
5,2020-01-09,3266.03,3275.58,3263.67,3274.7,1856800000.0,160947200000.0
6,2020-01-10,3281.81,3282.99,3260.86,3265.35,1632300000.0,142074900000.0
7,2020-01-13,3271.13,3288.13,3268.43,3288.13,1777000000.0,155311700000.0
8,2020-01-14,3285.35,3294.25,3277.19,3283.15,1987100000.0,173630800000.0
9,2020-01-15,3282.27,3298.66,3280.69,3289.29,1810000000.0,153944800000.0
10,2020-01-16,3302.97,3317.11,3302.82,3316.81,1810600000.0,153772800000.0
11,2020-01-17,3323.66,3329.88,3318.86,3329.62,2171800000.0,197690500000.0
12,2020-01-21,3321.03,3329.79,3316.61,3320.79,2195800000.0,194950700000.0
13,2020-01-22,3330.02,3337.77,3320.04,3321.75,1855200000.0,165544100000.0
14,2020-01-23,3315.77,3326.88,3301.87,3325.54,2045500000.0,170860700000.0
15,2020-01-24,3333.1,3333.18,3281.53,3295.47,2113600000.0,184559500000.0
16,2020-01-27,3247.16,3258.85,3234.5,3243.63,2151700000.0,180471000000.0
17,2020-01-28,3255.35,3285.78,3253.22,3276.24,2030100000.0,167151000000.0
18,2020-01-29,3289.46,3293.47,3271.89,3273.4,2139600000.0,173446400000.0
19,2020-01-30,3256.45,3285.91,3242.8,3283.66,2257500000.0,197693600000.0
20,2020-01-31,3282.33,3282.33,3214.68,3225.52,2686700000.0,245962300000.0
21,2020-02-03,3235.66,3268.44,3235.66,3248.92,2124000000.0,191055000000.0
22,2020-02-04,3280.61,3306.92,3280.61,3297.59,2179100000.0,196328700000.0
23,2020-02-05,3324.91,3337.58,3313.75,3334.69,2264200000.0,194305400000.0
24,2020-02-06,3344.92,3347.96,3334.39,3345.78,1964600000.0,170454100000.0
25,2020-02-07,3335.54,3341.42,3322.12,3327.71,1861000000.0,161127400000.0
26,2020-02-10,3318.28,3352.26,3317.77,3352.09,1737400000.0,159410300000.0
27,2020-02-11,3365.87,3375.63,3352.72,3357.75,1881200000.0,170680800000.0
28,2020-02-12,3370.5,3381.47,3369.72,3379.45,2010900000.0,170024100000.0
29,2020-02-13,3365.9,3385.09,3360.52,3373.94,1912100000.0,159871800000.0
30,2020-02-14,3378.08,3380.69,3366.15,3380.16,1668400000.0,146087700000.0
31,2020-02-18,3369.04,3375.01,3355.61,3370.29,1915100000.0,166681900000.0
32,2020-02-19,3380.39,3393.52,3378.83,3386.15,1734800000.0,150921000000.0
33,2020-02-20,3380.45,3389.15,3341.02,3373.23,2032600000.0,171585800000.0
34,2020-02-21,3360.5,3360.76,3328.45,3337.75,2124500000.0,188182700000.0
35,2020-02-24,3257.61,3259.81,3214.65,3225.89,2753300000.0,243417800000.0
36,2020-02-25,3238.94,3246.99,3118.77,3128.21,3161100000.0,262146800000.0
37,2020-02-26,3139.9,3182.51,3108.99,3116.39,2994700000.0,240715700000.0
38,2020-02-27,3062.54,3097.07,2977.39,2978.76,3939100000.0,310606600000.0
39,2020-02-28,2916.9,2959.72,2855.84,2954.22,5147600000.0,402639400000.0
40,2020-03-02,2974.28,3090.96,2945.19,3090.23,3831100000.0,312573000000.0
41,2020-03-03,3096.46,3136.72,2976.63,3003.37,3877600000.0,300056100000.0
42,2020-03-04,3045.75,3130.97,3034.38,3130.12,3111500000.0,250597500000.0
43,2020-03-05,3075.7,3083.04,2999.83,3023.94,3241700000.0,245215200000.0
44,2020-03-06,2954.2,2985.93,2901.54,2972.37,3915800000.0,283122900000.0
45,2020-03-09,2863.89,2863.89,2734.43,2746.56,4719600000.0,309638800000.0
46,2020-03-10,2813.48,2882.59,2734.0,2882.23,4352700000.0,303379900000.0
47,2020-03-11,2825.6,2825.6,2707.22,2741.38,4273600000.0,278964100000.0
48,2020-03-12,2630.86,2660.95,2478.86,2480.64,5237600000.0,350467900000.0
49,2020-03-13,2569.99,2711.33,2492.37,2711.02,5005800000.0,346976500000.0
50,2020-03-16,2508.59,2562.98,2380.94,2386.13,4674600000.0,294644100000.0
51,2020-03-17,2425.66,2553.93,2367.04,2529.19,4885700000.0,329526000000.0
52,2020-03-18,2436.5,2453.57,2280.52,2398.1,5225800000.0,322254800000.0
53,2020-03-19,2393.48,2466.97,2319.78,2409.39,4563400000.0,284015200000.0
54,2020-03-20,2431.94,2453.01,2295.56,2304.92,5306300000.0,306659500000.0
55,2020-03-23,2290.71,2300.73,2191.86,2237.4,4626500000.0,270508200000.0
56,2020-03-24,2344.44,2449.71,2344.44,2447.33,4729600000.0,290857100000.0
57,2020-03-25,2457.77,2571.42,2407.53,2475.56,4888900000.0,298681000000.0
58,2020-03-26,2501.29,2637.01,2500.72,2630.07,4364200000.0,282259500000.0
59,2020-03-27,2555.87,2615.91,2520.02,2541.47,3594800000.0,226913900000.0
